,0
jdbj1_most_jyje_jyje_label,0.08595166468854307
most_jyje_jyje_label,0.08550786651428982
zydh_jyrq_ratio_std,0.08448241629981751
jyje_100_times_pct,0.08421718832156387
jdbj0_jyje_var_coeff,0.08227066716336325
zhdh_jdbj1_jyrq_is_month_end_max,0.08214404648984716
zhdh_jdbj1_jyje_median,0.08200585100673842
dfhh_ratio_min,0.08004304987999046
zhdh_jdbj0_jyrq_date_max,0.07952832354719473
zhdh_jdbj1_jyrq_dayofyear_mean,0.0789543040998224
jyqd_w2v_fea13,0.0783974466582297
zydh_hour_ratio_max,0.07818515944653158
zydh_w2v_fea13,0.0776629304499674
zydh_w2v_fea12,0.07743071149511611
zydh_jyrq_ratio_mean,0.07674019392952544
zhdh_jdbj1_jyje_mean,0.07631108369488818
is_month_start_ratio_sum,0.07622889514766154
zhdh_jdbj1_jyrq_is_month_start_max,0.07614736215612036
zhdh_jdbj0_jyrq_hour_ptp,0.07560848914950752
month,0.07427417927650273
jyqd_w2v_fea1,0.07378109661101358
most_minu,0.07303020853554898
jyqd_tfidf_fea0,0.07191426952641762
jyqd_zydh_ratio_std,0.0712850895313825
zhdh_jdbj1_jyrq_minu_median,0.07105916012663817
jyqd_zydh_ratio_max,0.0709448745345258
jyqd_ratio_min,0.0702794668395616
zhdh_jdbj1_jyrq_weekofyear_min,0.06991417625547956
zhdh_jdbj0_dfhh_nunique,0.06977935989341265
dfhh_ratio_sum,0.06936874433232934
most_weekofyear,0.06931896187183542
is_wknd_ratio_sum,0.06884430587659018
khrq,0.06798767498237317
jdbj_0,0.06782619707733747
minu_ratio_sum,0.06735680237058558
most_jyje_weekofyear,0.06729696381572203
dayofweek_ratio_mean,0.06712701636646315
jyqd_jyje_label_ratio_std,0.06709998497193982
zhdh_jdbj0_dfmccd_std,0.0670961721979106
jyje_label_ratio_std,0.0666789301172495
zhdh_jdbj0_jyrq_hour_min,0.06663471789936654
jyqd_jyje_label_ratio_max,0.06588819386556166
jyqd_hour_ratio_std,0.06572906181374256
zhdh_jdbj0_jyrq_hour_mean,0.0651348922251173
jyqd_w2v_fea6,0.06499769107099243
zhdh_jdbj0_jyje_mean,0.06479324659189079
jyqd_tfidf_fea4,0.06466818405333301
zhdh_jdbj0_jyrq_dayofweek_median,0.0640798827673612
zhdh_jdbj1_jyrq_minu_max,0.06379856990733827
zhdh_jdbj0_jyrq_month_mean,0.06374331797579841
jyje_label_4,0.06274633213281794
zhdh_jdbj0_jyrq_day_min,0.06202431312214662
jdbj1_most_jyje_is_month_start,0.06172698298688364
zhdh_jdbj1_dfmccd_ptp,0.06129932752151825
zhdh_jdbj0_zhye_sum,0.06123244518312331
zhdh_jdbj0_jyrq_minu_min,0.06123186582120952
zhdh_jdbj0_dfmccd_ptp,0.06084317010974208
jyje_label_ratio_mean,0.060519505149538425
jdbj1_most_jyje_is_wknd,0.06039173400261161
day_ratio_sum,0.060268882421418854
jyqd_hour_ratio_max,0.05972215265881969
jyqd_hour_ratio_mean,0.05918390738064981
is_wknd_ratio_mean,0.05893748735577724
most_jyje_minu,0.05839733188482257
jdbj0_most_jyqd,0.057575987857020394
zhdh_jdbj1_jyrq_month_median,0.05751530692628215
zhdh_jdbj0_zhye_ptp,0.05706729684071209
zydh_jyje_label_ratio_max,0.05679919825618084
jyqd_w2v_fea9,0.05614716430040959
zhdh_jdbj0_jyrq_dayofyear_median,0.056110761799770904
minu_ratio_mean,0.05592494828788362
zhdh_jdbj0_jyje_ptp,0.0556835680868725
jyqd_w2v_fea14,0.055540815412695996
most_zydh,0.055066993676461944
zhdh_jdbj1_zhye_ptp,0.05394675231282107
zhdh_jdbj1_jyrq_minu_min,0.053942348402487635
zhdh_jdbj0_jyrq_minu_median,0.052887056681963585
zhdh_jdbj0_dfzh_nunique,0.052851930163125366
zhdh_jdbj0_jyrq_dayofweek_mean,0.052401161440540356
jdbj0_most_jyje_weekofyear,0.051820748772928256
E96ED478_sum,0.05156244999534974
zhdh_jdbj0_zhye_std,0.05015388509480196
dfzh_ratio_mean,0.04963765044512133
757B505C_ratio,0.04945843305246321
zhdh_jdbj1_dfmccd_max,0.04776549130456016
jdbj1_most_is_wknd,0.047332207342835525
jyqd_tfidf_fea2,0.04626351308117826
zhdh_jdbj1_jyje_count_above_mean,0.04600965283215018
zhdh_jdbj0_jyrq_is_month_end_mean,0.04577789333692895
day_ratio_max,0.04567410061721478
zhdh_jdbj0_jyrq_weekofyear_median,0.04538108173121922
zydh_hour_ratio_mean,0.0449622843180605
zydh_ratio_mean,0.04488054888968893
dfzh_ratio_sum,0.04460177237208649
zhdh_jdbj1_zydh_nunique,0.04454253684035118
274AD478_sum,0.04437486726247989
month_ratio_sum,0.04432792728280231
jdbj1_most_minu,0.04376199229906425
jdbj1_most_is_month_start,0.04263797795525044
zhdh_jdbj1_jyrq_day_median,0.04261005909920163
p(jyqd|flag)_max_lag=0,0.041788351952994955
zhdh_jdbj0_dfmccd_max,0.041668646105963415
zhdh_jdbj0_jyje_mean_abs_change,0.041589999710967364
most_dfzh,0.04117617493415329
jyqd_tfidf_fea5,0.04024584487000828
last_day_trade_cnt,0.03868301740979482
zhdh_jdbj1_jyje_max,0.038344028485647476
zhdh_jdbj0_jyrq_date_mean,0.037784088044934855
most_dfhh,0.03678780881761625
zydh_ratio_max,0.036697247137711636
day_ratio_min,0.03637843143626654
zhdh_jdbj0_dfmccd_min,0.03608972398447447
zhdh_jdbj0_jyrq_minu_mean,0.03582648105107092
zhdh_jdbj1_jyrq_is_wknd_max,0.03566765746323092
most_jyje_is_wknd,0.035646626473300295
jdbj0_most_jyje_minu,0.03427354095264813
zhdh_jdbj0_jyrq_dayofweek_ptp,0.03394822026902152
minu_ratio_max,0.03394412315400713
zydh_tfidf_fea1,0.033774973030245466
month_ratio_mean,0.033437446577798347
zhdh_jdbj1_jyrq_is_month_end_ptp,0.03337017890523012
weekofyear_ratio_mean,0.03298932307218589
zhdh_jdbj1_jyrq_day_ptp,0.0322652893568543
zhdh_jdbj0_dfmccd_median,0.031784007725082185
jdbj0_most_jyje_dayofweek,0.03141678782359764
zhdh_jdbj1_dfmccd_min,0.03137988876554997
zhdh_jdbj1_jyrq_day_min,0.029609175197087355
854D6FAE_ratio,0.029244078463636854
zhdh_jdbj0_jyrq_dayofyear_min,0.027575531187833086
jyje_label_ratio_sum,0.027029744065671865
p(jyqd|flag)_max_lag=1,0.026931337785151034
jyqd_w2v_fea11,0.026331142480585375
weekofyear_ratio_min,0.02624294149589273
zydh_tfidf_fea0,0.024841200148934428
zhdh_jdbj0_jyrq_hour_max,0.02430733774812259
zhdh_jdbj0_jyrq_is_month_end_max,0.023586359246662157
jdbj1_most_is_month_end,0.023436381067543144
F47D0AD3_sum,0.023318209735150683
jdbj1_most_jyje_is_month_end,0.022900994578908204
hour_ratio_sum,0.022650664706786405
zhdh_jdbj0_jyrq_dayofweek_max,0.022185030229642997
zhdh_jdbj0_jyje_percentage_of_reoccurring_datapoints_to_all_datapoints,0.022161117157772123
most_jyje_dfhh,0.02103430485308108
zhdh_jdbj1_jyje_longest_strike_above_mean,0.020972859239356288
weekofyear_ratio_max,0.020622474502590634
dfzh_ratio_min,0.019402807718081363
jyqd_jyje_label_ratio_mean,0.01857412401531841
F47D0AD3_ratio,0.018271429175577815
zhdh_jdbj0_jyqd_nunique,0.017873814839293914
zhdh_jdbj0_jyrq_hour_median,0.016359640063342933
zhdh_jdbj1_jyrq_dayofweek_median,0.014988852004861676
jyqd_zydh_ratio_mean,0.01473241114574957
B6A1085A_ratio,0.014441274825688506
jdbj0_most_jyje_is_wknd,0.01428325164385873
jyqd_jyrq_ratio_mean,0.014205193516156596
jyje_label_ratio_max,0.013578729921056618
zhdh_jdbj0_jyrq_is_month_start_max,0.012939278310620283
zhdh_jdbj1_jyrq_is_wknd_ptp,0.012669179240325212
